id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15
405,4,26,6,0,89,4,200,74,3,0,0,2,0,0,0,0
406,4,18,6,0,29,4,114,52,4,0,0,1,0,0,0,0
407,4,29,6,0,129,4,226,87,4,0,0,0,0,0,0,0
408,6,62,14,1,406,16,410,271,7,27,4,5,1,0,0,0
409,4,73,5,1,1500,2,446,156,37,57,2,2,1,0,0,0
410,2,7,1,0,9,0,36,7,0,0,0,0,0,0,0,0
411,4,16,6,0,27,4,94,48,0,0,0,0,0,0,0,0
412,4,28,6,0,184,4,165,80,0,0,0,2,0,0,0,0
413,2,6,1,0,6,0,44,6,0,0,0,0,0,0,0,0
414,2,21,1,0,153,0,166,21,3,0,0,0,0,0,0,0
415,19,158,168,3,1158,919,1552,2721,20,93,49,13,2,1,0,0
416,2,31,1,0,377,0,149,31,4,0,0,0,0,0,0,0
417,6,22,15,0,58,20,159,110,1,0,0,0,0,0,0,0
418,2,8,1,0,13,0,32,8,0,0,0,0,0,0,0,0
419,2,7,1,0,8,0,30,7,1,0,0,0,0,0,0,0
420,4,12,6,0,15,4,67,36,1,0,0,0,0,0,0,0
421,4,11,5,1,12,2,51,26,0,5,2,0,1,0,0,0
422,2,8,1,0,11,0,28,8,2,0,0,0,0,0,0,0
423,6,35,15,0,118,20,275,167,5,0,0,4,0,0,0,0
424,4,8,6,0,10,4,47,24,0,0,0,0,0,0,0,0
425,2,4,1,0,3,0,15,4,0,0,0,0,0,0,0,0
426,8,101,25,3,1528,41,720,517,34,180,12,2,3,3,0,0
427,2,14,1,0,54,0,231,14,4,0,0,0,0,0,0,0
428,6,47,15,0,218,20,425,233,3,0,0,1,0,0,0,0
429,18,136,152,1,1006,800,1289,2235,19,57,16,10,0,0,0,0
430,2,19,1,0,136,0,142,19,1,0,0,0,0,0,0,0
431,2,3,1,0,1,0,6,3,0,0,0,0,0,0,0,0
432,2,6,1,0,6,0,31,6,0,0,0,0,0,0,0,0
433,2,7,1,0,8,0,18,7,1,0,0,0,0,0,0,0
434,6,35,15,0,151,20,171,175,6,0,0,0,0,0,0,0
435,4,17,6,0,29,4,110,51,0,0,0,0,0,0,0,0
436,17,133,134,2,986,650,866,2106,17,14,30,2,2,0,0,0
437,5,35,10,0,122,10,279,138,0,0,0,1,0,0,0,0
438,7,75,21,0,771,35,665,442,6,0,0,4,0,0,0,0
439,4,17,6,0,39,4,123,51,0,0,0,0,0,0,0,0
440,8,42,28,0,116,56,342,294,3,0,0,0,0,0,0,0
441,12,79,65,1,377,210,458,851,3,16,10,1,0,0,0,0
442,7,48,20,1,224,30,274,277,3,7,5,2,0,0,0,0
443,3,16,3,0,47,1,69,30,0,0,0,1,0,0,0,0
444,8,42,28,0,114,56,239,290,3,0,0,2,0,0,0,0
445,2,84,1,0,1849,0,771,78,17,0,0,3,0,0,0,0
446,4,37,6,0,227,4,289,107,2,0,0,2,0,0,0,0
447,6,47,15,0,450,20,467,229,7,0,0,3,0,0,0,0
448,4,26,6,0,92,4,122,78,0,0,0,0,0,0,0,0
449,6,16,15,0,18,20,321,78,1,0,0,1,0,0,0,0
450,4,15,6,0,20,4,79,45,2,0,0,0,0,0,0,0
451,4,32,5,1,148,2,204,72,1,24,2,0,0,0,0,0
452,4,22,6,0,45,4,220,64,6,0,0,1,0,0,0,0
453,4,38,6,0,274,4,504,112,8,0,0,1,0,0,0,0
454,11,136,53,2,2130,147,880,1240,40,102,18,4,5,0,0,0
455,4,15,6,0,47,4,121,45,1,0,0,0,0,0,0,0
456,11,107,54,1,991,156,655,1040,15,22,9,4,0,0,0,0
457,6,27,13,2,72,13,174,126,2,9,6,0,0,1,0,0
458,8,28,28,0,34,56,255,196,4,0,0,0,0,0,0,0
459,6,81,13,2,1490,13,560,279,35,118,6,2,2,1,0,0
460,4,67,6,0,1441,4,540,201,13,0,0,0,0,0,0,0
461,2,13,1,0,48,0,74,13,0,0,0,0,0,0,0,0
462,2,8,1,0,13,0,26,8,0,0,0,0,0,0,0,0
463,6,18,15,0,23,20,94,88,0,0,0,1,0,0,0,0
464,5,25,10,0,59,10,100,100,0,0,0,0,0,0,0,0
465,6,23,15,0,34,20,124,115,1,0,0,0,0,0,0,0
466,5,144,10,0,8226,10,758,572,64,0,0,2,0,0,0,0
467,4,15,6,0,28,4,246,45,2,0,0,0,0,0,0,0
468,4,13,6,0,19,4,46,39,0,0,0,0,0,0,0,0
469,4,12,6,0,16,4,56,36,0,0,0,0,0,0,0,0
470,5,21,10,0,40,10,125,84,1,0,0,0,0,0,0,0
471,3,40,3,0,476,1,431,80,5,0,0,0,0,0,0,0
472,8,36,28,0,110,56,295,248,3,0,0,2,0,0,0,0
473,4,65,6,0,1445,4,475,195,10,0,0,0,0,0,0,0
474,2,8,1,0,21,0,40,8,0,0,0,0,0,0,0,0
475,2,6,1,0,10,0,29,6,0,0,0,0,0,0,0,0
476,6,47,15,0,295,20,378,233,10,0,0,1,0,0,0,0
477,3,12,3,0,21,1,151,24,0,0,0,0,0,0,0,0
478,4,26,5,1,120,2,194,60,1,18,2,0,0,0,0,0
479,4,22,6,0,52,4,132,66,2,0,0,0,0,0,0,0
480,7,52,20,1,206,30,387,284,3,24,5,2,0,0,0,0
481,5,35,10,0,152,10,287,140,6,0,0,0,0,0,0,0
482,9,89,33,3,976,65,765,570,9,128,18,5,2,0,1,0
483,4,23,5,1,56,2,176,56,2,11,2,0,1,0,0,0
484,7,112,20,1,2052,30,750,579,42,73,5,2,8,0,0,0
485,6,23,15,0,39,20,197,115,2,0,0,0,0,0,0,0
486,6,33,14,1,92,16,277,154,2,9,4,1,0,0,0,0
487,12,129,64,2,2040,201,819,1259,39,128,18,6,10,1,0,0
488,3,20,3,0,71,1,170,40,2,0,0,0,0,0,0,0
489,4,19,6,0,49,4,222,57,1,0,0,0,0,0,0,0
490,10,61,45,0,323,120,432,547,8,0,0,1,0,0,0,0
491,2,12,1,0,39,0,106,12,0,0,0,0,0,0,0,0
492,6,27,15,0,83,20,247,133,8,0,0,1,0,0,0,0
493,4,125,5,1,2933,2,901,307,48,64,2,1,1,0,0,0
494,2,4,1,0,3,0,13,4,0,0,0,0,0,0,0,0
495,4,9,6,0,8,4,23,27,1,0,0,0,0,0,0,0
496,4,10,6,0,21,4,116,30,0,0,0,0,0,0,0,0
497,2,12,1,0,38,0,57,12,1,0,0,0,0,0,0,0
498,6,47,15,0,395,20,418,233,12,0,0,1,0,0,0,0
499,2,10,1,0,22,0,183,10,2,0,0,0,0,0,0,0
500,2,7,1,0,9,0,27,7,0,0,0,0,0,0,0,0
501,4,12,6,0,16,4,45,36,0,0,0,0,0,0,0,0
502,4,11,6,0,14,4,55,33,0,0,0,0,0,0,0,0
503,4,10,6,0,9,4,53,30,0,0,0,0,0,0,0,0
504,4,23,6,0,101,4,84,69,3,0,0,0,0,0,0,0
505,11,132,53,2,2071,148,953,1181,42,111,16,6,8,1,0,0
506,6,61,15,0,549,20,397,303,13,0,0,1,0,0,0,0
507,13,55,72,6,237,226,242,584,4,66,55,2,3,4,1,0
508,2,23,1,0,111,0,287,23,10,0,0,0,0,0,0,0
509,3,12,3,0,21,1,59,24,0,0,0,0,0,0,0,0
510,4,15,6,0,40,4,87,45,0,0,0,0,0,0,0,0
511,2,8,1,0,12,0,90,8,1,0,0,0,0,0,0,0
512,5,12,9,1,10,7,56,43,0,5,3,0,0,0,0,0
513,4,22,6,0,80,4,108,66,2,0,0,0,0,0,0,0
514,6,55,15,0,507,20,451,273,7,0,0,1,0,0,0,0
515,7,28,21,0,53,35,196,164,2,0,0,2,0,0,0,0
516,4,33,6,0,158,4,219,99,1,0,0,0,0,0,0,0
517,4,16,6,0,24,4,156,48,3,0,0,0,0,0,0,0
518,5,27,10,0,94,10,272,106,3,0,0,1,0,0,0,0
519,14,158,88,3,2937,331,869,1812,45,212,30,10,5,3,0,0
520,2,18,1,0,84,0,175,18,4,0,0,0,0,0,0,0
521,2,14,1,0,75,0,158,14,3,0,0,0,0,0,0,0
522,2,2,1,0,0,0,16,2,0,0,0,0,0,0,0,0
523,4,15,6,0,21,4,121,45,1,0,0,0,0,0,0,0
524,5,20,10,0,32,10,152,80,0,0,0,0,0,0,0,0
525,14,147,87,4,1208,318,756,1797,13,94,44,8,2,2,0,0
526,6,54,15,0,248,20,461,268,11,0,0,1,0,0,0,0
527,4,26,6,0,133,4,201,78,3,0,0,0,0,0,0,0
528,2,6,1,0,6,0,36,6,0,0,0,0,0,0,0,0
529,4,32,6,0,192,4,170,94,6,0,0,1,0,0,0,0
530,4,20,6,0,63,4,263,60,1,0,0,0,0,0,0,0
531,2,6,1,0,10,0,16,6,0,0,0,0,0,0,0,0
532,2,6,1,0,6,0,69,6,0,0,0,0,0,0,0,0
533,2,9,1,0,28,0,46,9,0,0,0,0,0,0,0,0
534,4,19,6,0,52,4,92,57,0,0,0,0,0,0,0,0
535,2,14,1,0,45,0,197,14,1,0,0,0,0,0,0,0
536,2,8,1,0,13,0,53,8,0,0,0,0,0,0,0,0
537,5,12,9,1,11,7,34,41,1,7,3,0,0,0,0,0
538,2,13,1,0,41,0,45,13,1,0,0,0,0,0,0,0
539,4,22,6,0,51,4,126,64,0,0,0,1,0,0,0,0
540,6,29,15,0,88,20,301,141,3,0,0,2,0,0,0,0
541,5,18,10,0,29,10,185,72,2,0,0,0,0,0,0,0
542,4,24,6,0,91,4,238,70,3,0,0,1,0,0,0,0
543,2,4,1,0,3,0,17,4,0,0,0,0,0,0,0,0
544,7,54,20,1,225,30,364,312,8,12,5,0,0,0,0,0
545,2,10,1,0,23,0,50,10,1,0,0,0,0,0,0,0
546,4,29,6,0,230,4,142,87,7,0,0,0,0,0,0,0
547,4,10,6,0,13,4,67,30,0,0,0,0,0,0,0,0
548,6,31,15,0,89,20,297,155,4,0,0,0,0,0,0,0
549,4,75,5,1,1215,2,530,154,13,71,2,0,0,0,0,0
550,2,4,1,0,3,0,17,4,0,0,0,0,0,0,0,0
551,4,15,6,0,30,4,129,45,0,0,0,0,0,0,0,0
552,5,36,10,0,234,10,191,144,6,0,0,0,0,0,0,0
553,8,34,27,1,66,50,443,221,2,11,6,3,0,0,0,0
554,4,147,6,0,8238,4,790,439,64,0,0,1,0,0,0,0
555,2,12,1,0,39,0,71,12,0,0,0,0,0,0,0,0
556,4,12,6,0,21,4,137,36,3,0,0,0,0,0,0,0
557,2,12,1,0,39,0,45,12,0,0,0,0,0,0,0,0
558,6,22,15,0,40,20,112,110,0,0,0,0,0,0,0,0
559,4,14,6,0,23,4,50,42,0,0,0,0,0,0,0,0
560,2,17,1,0,75,0,117,17,1,0,0,0,0,0,0,0
561,2,7,1,0,9,0,38,7,0,0,0,0,0,0,0,0
562,5,23,10,0,51,10,122,90,3,0,0,1,0,0,0,0
563,5,50,10,0,349,10,550,192,12,0,0,4,0,0,0,0
564,4,51,6,0,378,4,604,151,13,0,0,1,0,0,0,0
565,13,72,77,1,274,275,588,844,7,18,11,1,0,0,0,0
566,3,19,3,0,86,1,144,36,1,0,0,1,0,0,0,0
567,8,78,28,0,508,56,768,540,15,0,0,3,0,0,0,0
568,4,32,6,0,238,4,302,96,5,0,0,0,0,0,0,0
569,4,136,6,0,8198,4,728,408,64,0,0,0,0,0,0,0
570,4,15,5,1,22,2,190,36,0,9,2,0,0,0,0,0
571,4,12,6,0,11,4,62,36,1,0,0,0,0,0,0,0
572,4,14,6,0,19,4,60,42,0,0,0,0,0,0,0,0
573,6,22,15,0,32,20,236,110,0,0,0,0,0,0,0,0
574,4,17,6,0,28,4,55,51,1,0,0,0,0,0,0,0
575,2,7,1,0,9,0,35,7,0,0,0,0,0,0,0,0
576,5,27,10,0,118,10,189,108,3,0,0,0,0,0,0,0
577,9,38,35,1,90,77,210,291,3,1,7,5,1,0,0,0
578,4,30,6,0,137,4,281,88,2,0,0,1,0,0,0,0
579,4,62,6,0,761,4,382,186,5,0,0,0,0,0,0,0
580,9,44,36,0,110,84,393,352,3,0,0,0,0,0,0,0
581,7,61,21,0,469,35,616,366,12,0,0,0,0,0,0,0
582,3,16,3,0,34,1,90,30,2,0,0,1,0,0,0,0
583,5,15,10,0,19,10,51,54,1,0,0,3,0,0,0,0
584,6,23,14,1,40,16,83,105,0,6,4,1,1,0,0,0
585,2,10,1,0,20,0,44,8,0,0,0,1,0,0,0,0
586,6,19,15,0,26,20,104,93,1,0,0,1,0,0,0,0
587,2,15,1,0,54,0,57,15,1,0,0,0,0,0,0,0
588,6,22,14,1,36,16,132,100,0,8,4,1,0,0,0,0
589,6,22,15,0,36,20,143,108,4,0,0,1,0,0,0,0
590,4,14,6,0,23,4,73,42,0,0,0,0,0,0,0,0
591,6,38,15,0,169,20,339,190,7,0,0,0,0,0,0,0
592,2,6,1,0,6,0,35,6,0,0,0,0,0,0,0,0
593,4,22,6,0,86,4,234,66,5,0,0,0,0,0,0,0
594,2,4,1,0,3,0,8,4,0,0,0,0,0,0,0,0
595,4,17,6,0,34,4,83,51,1,0,0,0,0,0,0,0
596,7,38,21,0,103,35,298,226,1,0,0,1,0,0,0,0
597,4,57,6,0,580,4,419,171,6,0,0,0,0,0,0,0
598,29,136,402,4,1596,3547,1128,3719,15,73,106,7,1,1,0,0
599,1,6,0,0,15,0,23,0,0,0,0,0,0,0,0,0
600,2,4,1,0,3,0,25,4,0,0,0,0,0,0,0,0
601,2,4,1,0,3,0,15,4,0,0,0,0,0,0,0,0
602,2,9,1,0,18,0,204,9,0,0,0,0,0,0,0,0
603,8,83,28,0,1055,56,561,579,15,0,0,1,0,0,0,0
604,6,55,15,0,482,20,488,275,8,0,0,0,0,0,0,0
605,2,31,1,0,377,0,152,31,4,0,0,0,0,0,0,0
606,6,20,15,0,22,20,80,100,2,0,0,0,0,0,0,0
607,4,68,6,0,1552,4,473,204,15,0,0,0,0,0,0,0
608,5,29,10,0,88,10,357,112,3,0,0,2,0,0,0,0
609,8,29,28,0,56,56,426,197,5,0,0,3,0,0,0,0
610,8,33,28,0,69,56,211,229,2,0,0,1,0,0,0,0
611,2,10,1,0,24,0,41,10,0,0,0,0,0,0,0,0
612,2,6,1,0,6,0,144,6,0,0,0,0,0,0,0,0
613,4,136,6,0,8199,4,729,408,63,0,0,0,0,0,0,0
614,4,30,6,0,128,4,327,90,4,0,0,0,0,0,0,0
615,2,19,1,0,81,0,201,17,6,0,0,1,0,0,0,0
616,4,18,6,0,37,4,190,54,0,0,0,0,0,0,0,0
617,2,10,1,0,20,0,38,10,0,0,0,0,0,0,0,0
618,2,7,1,0,14,0,98,7,1,0,0,0,0,0,0,0
619,2,6,1,0,10,0,76,6,0,0,0,0,0,0,0,0
620,4,18,6,0,40,4,104,54,1,0,0,0,0,0,0,0
621,6,30,15,0,64,20,176,150,0,0,0,0,0,0,0,0
622,6,23,15,0,35,20,123,115,2,0,0,0,0,0,0,0
623,7,22,19,2,26,26,74,118,2,10,8,2,0,1,0,0
624,4,14,6,0,28,4,58,42,2,0,0,0,0,0,0,0
625,2,6,1,0,6,0,44,6,0,0,0,0,0,0,0,0
626,4,26,6,0,94,4,112,78,0,0,0,0,0,0,0,0
627,4,16,6,0,25,4,93,46,1,0,0,1,0,0,0,0
628,4,145,4,2,8147,1,753,284,62,143,2,2,2,1,0,0
629,4,14,6,0,27,4,182,42,0,0,0,0,0,0,0,0
630,2,6,1,0,6,0,31,6,0,0,0,0,0,0,0,0
631,2,11,1,0,27,0,48,11,0,0,0,0,0,0,0,0
632,2,6,1,0,6,0,102,6,0,0,0,0,0,0,0,0
633,4,65,6,0,1537,4,463,191,15,0,0,2,0,0,0,0
634,2,17,1,0,88,0,211,17,6,0,0,0,0,0,0,0
635,2,17,1,0,117,0,112,15,3,0,0,1,0,0,0,0
636,2,18,1,0,133,0,134,16,3,0,0,1,0,0,0,0
637,2,13,1,0,47,0,94,13,1,0,0,0,0,0,0,0
638,8,35,28,0,87,56,305,245,5,0,0,0,0,0,0,0
639,2,61,1,0,1442,0,474,61,10,0,0,0,0,0,0,0
640,6,31,15,0,70,20,220,153,2,0,0,1,0,0,0,0
641,2,4,1,0,3,0,19,4,0,0,0,0,0,0,0,0
642,4,19,6,0,46,4,122,57,2,0,0,0,0,0,0,0
643,6,45,15,0,229,20,240,225,1,0,0,0,0,0,0,0
644,8,45,28,0,150,56,273,313,2,0,0,1,0,0,0,0
645,13,49,78,0,97,286,286,588,2,0,0,0,0,0,0,0
646,2,15,1,0,69,0,59,15,0,0,0,0,0,0,0,0
647,6,23,14,1,50,16,94,111,2,2,4,0,1,0,0,0
648,2,8,1,0,12,0,35,8,1,0,0,0,0,0,0,0
649,2,6,1,0,10,0,21,6,0,0,0,0,0,0,0,0
650,7,37,20,1,90,30,251,211,0,11,5,0,0,0,0,0
651,8,62,28,0,329,56,415,432,8,0,0,1,0,0,0,0
652,2,8,1,0,20,0,50,8,1,0,0,0,0,0,0,0
653,2,4,1,0,3,0,14,4,0,0,0,0,0,0,0,0
654,2,2,1,0,0,0,10,2,0,0,0,0,0,0,0,0
655,3,11,3,0,17,1,107,20,0,0,0,1,0,0,0,0
656,3,47,3,0,620,1,455,88,21,0,0,3,0,0,0,0
657,12,49,64,2,115,201,442,511,1,20,18,4,0,1,0,0
658,2,5,1,0,3,0,18,5,1,0,0,0,0,0,0,0
659,3,5,2,1,1,0,13,6,1,4,1,0,0,0,0,0
660,2,61,1,0,1511,0,383,57,39,0,0,2,0,0,0,0
661,16,126,119,1,851,546,892,1864,16,12,14,7,0,0,0,0
662,2,6,1,0,6,0,23,6,0,0,0,0,0,0,0,0
663,4,6,6,0,3,4,65,18,0,0,0,0,0,0,0,0
664,2,6,1,0,6,0,19,6,0,0,0,0,0,0,0,0
665,6,23,15,0,40,20,155,113,1,0,0,1,0,0,0,0
666,6,35,15,0,172,20,245,175,3,0,0,0,0,0,0,0
667,4,19,6,0,37,4,110,57,1,0,0,0,0,0,0,0
668,2,9,1,0,16,0,37,9,2,0,0,0,0,0,0,0
669,4,8,6,0,6,4,85,24,0,0,0,0,0,0,0,0
670,2,8,1,0,13,0,34,8,0,0,0,0,0,0,0,0
671,4,19,6,0,56,4,169,57,2,0,0,0,0,0,0,0
672,2,6,1,0,7,0,14,6,0,0,0,0,0,0,0,0
673,1,2,0,0,1,0,19,0,0,0,0,0,0,0,0,0
674,2,4,1,0,3,0,18,4,0,0,0,0,0,0,0,0
675,4,14,6,0,23,4,41,42,0,0,0,0,0,0,0,0
676,4,10,6,0,9,4,39,30,0,0,0,0,0,0,0,0
677,2,6,1,0,5,0,18,6,1,0,0,0,0,0,0,0
678,4,15,6,0,46,4,117,45,2,0,0,0,0,0,0,0
679,2,6,1,0,6,0,27,6,0,0,0,0,0,0,0,0
680,2,8,1,0,13,0,32,8,0,0,0,0,0,0,0,0
681,6,17,15,0,28,20,62,85,0,0,0,0,0,0,0,0
682,4,13,6,0,18,4,48,39,1,0,0,0,0,0,0,0
683,4,12,6,0,15,4,173,36,1,0,0,0,0,0,0,0
684,4,9,6,0,9,4,82,27,0,0,0,0,0,0,0,0
685,2,59,1,0,1504,0,369,59,39,0,0,0,0,0,0,0
686,2,7,1,0,8,0,150,7,1,0,0,0,0,0,0,0
687,15,72,102,3,179,417,831,964,3,24,37,9,1,1,0,0
688,4,23,5,1,91,2,225,52,3,15,2,0,1,0,0,0
689,6,147,11,4,8009,7,794,447,63,282,10,2,1,3,0,0
690,2,3,1,0,1,0,23,3,0,0,0,0,0,0,0,0
691,3,4,3,0,1,1,14,8,0,0,0,0,0,0,0,0
692,2,5,1,0,4,0,24,5,0,0,0,0,0,0,0,0
693,5,50,10,0,482,10,472,200,10,0,0,0,0,0,0,0
694,4,41,6,0,282,4,442,123,6,0,0,0,0,0,0,0
695,10,52,45,0,150,120,486,460,5,0,0,4,0,0,0,0
696,4,25,6,0,133,4,269,73,0,0,0,1,0,0,0,0
697,1,4,0,0,6,0,19,0,0,0,0,0,0,0,0,0
698,5,20,9,1,32,7,102,71,0,9,3,0,0,0,0,0
699,4,15,6,0,29,4,119,45,1,0,0,0,0,0,0,0
700,2,9,1,0,15,0,69,9,1,0,0,0,0,0,0,0
701,5,50,9,1,510,7,431,191,7,9,3,0,0,0,0,0
702,10,48,44,1,154,112,318,421,3,7,8,2,0,0,0,0
703,4,17,6,0,40,4,215,51,1,0,0,0,0,0,0,0
704,9,48,35,1,176,77,484,360,8,22,7,1,0,0,0,0
705,4,52,6,0,662,4,352,156,9,0,0,0,0,0,0,0
706,6,38,11,4,173,8,263,116,1,70,8,0,2,4,0,0
707,2,10,1,0,19,0,50,10,1,0,0,0,0,0,0,0
708,6,28,14,1,97,16,365,136,4,4,4,0,0,0,0,0
709,3,9,2,1,9,0,48,11,1,7,1,0,0,0,0,0
710,5,20,8,2,43,4,154,68,0,10,6,0,1,0,0,0
711,9,97,36,0,796,84,814,774,11,0,0,1,0,0,0,0
712,4,11,5,1,22,2,85,24,0,7,2,0,1,0,0,0
713,2,10,1,0,23,0,53,10,1,0,0,0,0,0,0,0
714,4,159,6,0,8567,4,847,473,67,0,0,2,0,0,0,0
715,2,31,1,0,374,0,410,31,7,0,0,0,0,0,0,0
716,4,50,6,0,678,4,387,150,11,0,0,0,0,0,0,0
717,2,6,1,0,10,0,18,6,0,0,0,0,0,0,0,0
718,6,16,15,0,19,20,96,80,0,0,0,0,0,0,0,0
719,6,27,15,0,70,20,307,127,1,0,0,4,0,0,0,0
720,4,16,6,0,29,4,99,46,2,0,0,1,0,0,0,0
721,2,14,1,0,44,0,235,14,2,0,0,0,0,0,0,0
722,6,72,15,0,1454,20,554,360,10,0,0,0,0,0,0,0
723,2,6,1,0,10,0,14,6,0,0,0,0,0,0,0,0
724,4,15,6,0,28,4,56,45,0,0,0,0,0,0,0,0
725,6,18,15,0,26,20,241,90,0,0,0,0,0,0,0,0
726,4,27,6,0,134,4,217,79,2,0,0,1,0,0,0,0
727,4,15,6,0,24,4,71,43,0,0,0,1,0,0,0,0
728,6,35,15,0,110,20,295,175,3,0,0,0,0,0,0,0
729,5,23,10,0,124,10,285,92,2,0,0,0,0,0,0,0
730,2,7,1,0,9,0,41,7,0,0,0,0,0,0,0,0
731,4,17,6,0,37,4,83,49,2,0,0,1,0,0,0,0
732,6,53,14,1,423,16,362,253,8,12,4,0,0,0,0,0
733,29,253,399,7,2803,3469,1786,6801,22,237,182,20,3,2,1,0
734,11,84,52,3,484,139,565,769,7,61,25,3,2,1,0,0
735,6,22,14,1,48,16,132,102,4,8,4,0,0,0,0,0
736,10,47,42,3,106,98,269,394,4,25,20,2,0,2,0,0
737,8,61,27,1,264,50,353,396,5,25,6,3,0,0,0,0
738,5,19,10,0,40,10,87,72,2,0,0,2,0,0,0,0
739,7,24,19,2,35,25,144,130,0,12,10,1,0,0,0,0
740,4,23,6,0,58,4,106,69,0,0,0,0,0,0,0,0
741,5,16,10,0,23,10,131,64,1,0,0,0,0,0,0,0
742,4,14,4,2,26,1,77,32,0,10,2,0,0,1,0,0
743,8,39,28,0,79,56,338,267,5,0,0,3,0,0,0,0
744,6,155,15,0,8256,20,854,763,67,0,0,6,0,0,0,0
745,8,87,25,3,1404,39,822,471,7,124,16,6,1,1,0,0
746,4,84,5,1,1595,2,604,193,14,57,2,0,1,0,0,0
747,4,31,6,0,204,4,199,93,2,0,0,0,0,0,0,0
748,12,224,65,1,8996,210,1213,2288,86,160,10,7,1,0,0,0
749,4,34,6,0,170,4,380,98,3,0,0,2,0,0,0,0
750,2,7,1,0,7,0,39,7,2,0,0,0,0,0,0,0
751,5,25,8,2,68,5,150,72,2,26,4,0,1,1,0,0
752,4,22,6,0,62,4,246,66,4,0,0,0,0,0,0,0
753,4,24,6,0,112,4,174,70,2,0,0,1,0,0,0,0
754,4,20,5,1,64,2,269,54,1,4,2,0,1,0,0,0
755,4,31,6,0,121,4,154,93,1,0,0,0,0,0,0,0
756,10,71,44,1,339,112,585,619,6,14,8,2,1,0,0,0
757,3,12,3,0,19,1,56,24,0,0,0,0,0,0,0,0
758,5,14,10,0,13,10,66,56,0,0,0,0,0,0,0,0
759,4,19,6,0,40,4,63,57,0,0,0,0,0,0,0,0
760,8,28,28,0,50,56,242,194,1,0,0,1,0,0,0,0
761,4,18,6,0,45,4,85,54,0,0,0,0,0,0,0,0
762,4,12,6,0,16,4,50,36,0,0,0,0,0,0,0,0
763,4,17,6,0,38,4,145,51,1,0,0,0,0,0,0,0
764,4,27,6,0,98,4,369,79,8,0,0,1,0,0,0,0
765,3,8,3,0,5,1,58,16,2,0,0,0,0,0,0,0
766,4,37,4,2,352,1,311,50,2,61,2,0,0,1,0,0
767,4,142,6,0,8213,4,812,424,65,0,0,1,0,0,0,0
768,4,137,5,1,8079,2,735,276,62,131,2,2,0,0,0,0
769,2,6,1,0,5,0,148,6,1,0,0,0,0,0,0,0
770,2,6,1,0,6,0,22,6,0,0,0,0,0,0,0,0
771,4,22,6,0,58,4,133,66,1,0,0,0,0,0,0,0
772,2,5,1,0,4,0,45,5,0,0,0,0,0,0,0,0
773,4,29,6,0,235,4,347,87,6,0,0,0,0,0,0,0
774,2,6,1,0,6,0,41,6,0,0,0,0,0,0,0,0
775,4,140,6,0,8206,4,739,418,66,0,0,1,0,0,0,0
776,4,19,3,3,51,0,230,25,3,30,3,0,1,0,1,0
777,2,5,1,0,5,0,41,5,1,0,0,0,0,0,0,0
778,5,21,9,1,47,7,111,72,0,12,3,0,0,0,0,0
779,6,20,14,1,38,16,144,89,0,11,4,0,0,0,0,0
780,2,7,1,0,9,0,19,7,0,0,0,0,0,0,0,0
781,4,8,6,0,10,4,33,24,0,0,0,0,0,0,0,0
782,2,9,1,0,18,0,25,9,0,0,0,0,0,0,0,0
783,6,43,15,0,222,20,344,215,3,0,0,0,0,0,0,0
784,4,21,6,0,66,4,367,63,5,0,0,0,0,0,0,0
785,2,6,1,0,6,0,87,6,0,0,0,0,0,0,0,0
786,2,4,1,0,3,0,14,4,0,0,0,0,0,0,0,0
787,4,12,6,0,16,4,46,36,0,0,0,0,0,0,0,0
788,6,48,15,0,234,20,251,232,2,0,0,4,0,0,0,0
789,4,32,5,1,176,2,169,74,3,18,2,0,2,0,0,0
790,6,16,15,0,15,20,121,80,1,0,0,0,0,0,0,0
791,3,12,3,0,21,1,35,24,0,0,0,0,0,0,0,0
792,6,21,15,0,35,20,309,105,3,0,0,0,0,0,0,0
793,3,11,3,0,18,1,38,22,1,0,0,0,0,0,0,0
794,4,22,5,1,138,2,158,64,1,2,2,0,0,0,0,0
795,4,16,6,0,24,4,135,48,2,0,0,0,0,0,0,0
796,4,140,4,2,7963,1,738,154,62,262,2,1,1,1,0,0
797,6,37,15,0,139,20,154,181,3,0,0,2,0,0,0,0
798,6,18,15,0,24,20,161,90,2,0,0,0,0,0,0,0
799,2,6,1,0,10,0,20,6,0,0,0,0,0,0,0,0
800,4,20,6,0,66,4,351,56,2,0,0,2,0,0,0,0
801,4,18,6,0,45,4,92,52,1,0,0,1,0,0,0,0
802,2,6,1,0,10,0,26,6,0,0,0,0,0,0,0,0
803,2,8,1,0,13,0,50,8,0,0,0,0,0,0,0,0
804,2,6,1,0,10,0,22,6,0,0,0,0,0,0,0,0
805,6,18,15,0,30,20,118,90,0,0,0,0,0,0,0,0
806,4,25,6,0,88,4,231,75,1,0,0,0,0,0,0,0
807,6,18,15,0,22,20,107,90,0,0,0,0,0,0,0,0
808,6,49,15,0,248,20,267,245,8,0,0,0,0,0,0,0
809,6,81,15,0,1581,20,600,401,18,0,0,2,0,0,0,0
810,2,6,1,0,6,0,18,6,0,0,0,0,0,0,0,0
811,4,12,6,0,12,4,58,36,4,0,0,0,0,0,0,0
812,6,24,11,4,60,6,143,79,2,33,13,3,1,0,1,0
